time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.509,0.614,0.001,0.002,1250.229,21.005
3,0.501,0.628,0.001,0.002,1250.005,21.01
4,0.51,0.613,0.001,0.002,1250.471,21.018
5,0.508,0.662,0.001,0.002,1251.306,21.007
6,0.562,0.661,0.001,0.002,1250.229,21.013
7,0.537,0.691,0.001,0.002,1250.737,21.03
8,0.564,0.689,0.002,0.003,1251.199,21.015
9,0.551,0.711,0.001,0.002,1252.36,21.026
10,0.659,0.761,0.002,0.003,1252.484,21.024
11,0.625,0.718,0.002,0.002,1251.768,21.01
12,0.702,0.8,0.001,0.002,1252.305,21.044
13,0.725,0.663,0.001,0.003,1254.114,21.045
14,0.59,0.718,0.002,0.003,1250.668,21.048
15,0.617,0.622,0.002,0.003,1254.483,21.014
16,0.602,0.7,0.001,0.002,1254.671,21.04
17,0.59,0.66,0.003,0.002,1253.32,21.002
18,0.551,0.69,0.002,0.003,1251.328,21.047
19,0.634,0.613,0.001,0.003,1250.836,21.064
20,0.867,0.655,0.001,0.004,1252.553,21.05
21,0.822,0.939,0.003,0.003,1254.851,21.011
22,0.796,0.784,0.003,0.002,1251.257,21.035
23,0.836,0.774,0.002,0.003,1251.661,21.055
24,0.804,1.058,0.003,0.003,1256.317,21.061
25,0.787,0.692,0.002,0.003,1256.618,21.095
26,0.818,0.878,0.002,0.003,1254.411,21.121
27,0.532,0.832,0.002,0.003,1252.215,21.094
28,0.783,0.949,0.003,0.004,1251.757,21.038
29,0.668,0.749,0.002,0.003,1250.951,21.01
30,0.749,0.908,0.004,0.003,1256.046,21.168
31,0.719,0.979,0.001,0.004,1253.793,21.042
32,0.682,0.88,0.003,0.003,1260.128,21.059
33,0.788,0.789,0.004,0.003,1258.192,21.151
34,1.08,1.2,0.003,0.004,1260.928,21.039
35,0.535,1.212,0.005,0.003,1259.246,21.101
36,0.761,0.978,0.003,0.004,1261.733,21.174
37,0.906,1.244,0.004,0.004,1255.251,21.158
38,0.929,1.101,0.003,0.005,1254.726,21.203
39,0.913,0.92,0.005,0.005,1258.309,21.115
40,1.035,0.9,0.005,0.005,1254.807,21.178
41,1.001,1.19,0.003,0.005,1258.01,21.07
42,0.795,0.703,0.005,0.003,1253.412,21.131
43,1.271,1.115,0.003,0.005,1252.664,21.074
44,0.668,0.833,0.003,0.006,1251.527,21.199
45,0.789,1.19,0.005,0.004,1261.361,21.172
46,0.817,1.472,0.002,0.005,1257.182,21.258
47,0.65,1.32,0.004,0.006,1255.359,21.159
48,1.332,0.694,0.004,0.004,1251.707,21.026
49,1.06,0.682,0.002,0.004,1253.898,21.193
50,1.192,0.707,0.005,0.005,1266.7,21.249
51,0.997,1.131,0.004,0.004,1256.578,21.198
52,0.971,0.892,0.005,0.008,1260.561,21.063
53,1.202,0.81,0.002,0.003,1259.519,21.041
54,0.688,0.678,0.005,0.003,1253.322,21.116
55,0.791,0.87,0.005,0.004,1251.126,21.15
56,0.95,0.958,0.006,0.008,1264.821,21.211
57,0.948,1.659,0.005,0.007,1257.508,21.078
58,0.655,0.733,0.005,0.006,1269.248,21.196
59,1.153,0.611,0.002,0.006,1259.6,21.056
60,0.764,0.673,0.006,0.006,1257.686,21.18
61,0.546,1.223,0.002,0.006,1264.016,21.055
62,1.075,1.211,0.007,0.007,1256.918,21.067
63,1.614,0.849,0.006,0.008,1261.781,21.12
64,1.223,1.258,0.006,0.004,1267.141,21.077
65,0.722,1.574,0.006,0.002,1262.115,21.167
66,0.524,1.704,0.001,0.008,1266.326,21.335
67,1.839,1.165,0.007,0.007,1265.023,21.31
68,1.017,0.734,0.003,0.005,1257.134,21.054
69,1.398,1.604,0.006,0.009,1256.694,21.089
70,1.801,1.579,0.006,0.009,1269.908,21.117
71,1.849,1.717,0.004,0.003,1252.564,21.051
72,1.203,1.605,0.004,0.006,1261.826,21.236
73,1.86,1.971,0.005,0.007,1253.196,21.4
74,1.056,1.183,0.002,0.005,1274.805,21.305
75,1.575,1.197,0.004,0.004,1265.558,21.091
76,0.984,1.287,0.005,0.007,1269.317,21.126
77,1.635,1.409,0.003,0.004,1268.658,21.127
78,1.186,0.813,0.002,0.005,1252.548,21.398
79,0.986,1.902,0.009,0.006,1275.912,21.215
80,1.012,1.141,0.005,0.007,1260.517,21.09
81,1.908,1.139,0.002,0.008,1258.347,21.274
82,1.886,1.734,0.008,0.01,1273.092,21.331
83,1.027,1.892,0.001,0.003,1258.472,21.397
84,1.464,1.784,0.01,0.005,1257.2,21.482
85,1.769,0.868,0.004,0.006,1254.095,21.076
86,1.04,0.772,0.007,0.006,1253.044,21.026
87,1.621,0.878,0.002,0.009,1275.481,21.467
88,1.767,1.897,0.007,0.008,1280.643,21.38
89,1.598,1.765,0.007,0.006,1252.949,21.126
90,0.993,1.323,0.005,0.003,1267.492,21.036
91,0.677,1.403,0.009,0.009,1270.761,21.188
92,1.196,1.416,0.004,0.01,1266.187,21.279
93,1.758,2.261,0.008,0.01,1252.507,21.431
94,1.418,0.824,0.004,0.004,1264.807,21.309
95,1.594,2.078,0.002,0.006,1275.041,21.098
96,1.574,2.257,0.009,0.012,1255.996,21.266
97,1.327,1.405,0.006,0.003,1252.761,21.544
98,2.048,2.491,0.003,0.011,1263.055,21.3
99,0.897,0.807,0.007,0.007,1281.003,21.22
100,2.194,1.938,0.007,0.003,1264.926,21.342
101,2.355,2.469,0.006,0.006,1266.321,21.526
102,0.924,1.7,0.002,0.01,1286.243,21.292
103,1.992,2.363,0.004,0.011,1263.721,21.548
104,1.328,2.471,0.013,0.011,1281.913,21.603
105,1.045,2.301,0.006,0.012,1275.093,21.183
