time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.513,0.616,0.001,0.002,1250.242,21.003
3,0.53,0.626,0.001,0.002,1250.646,21.006
4,0.517,0.657,0.001,0.002,1251.088,21.013
5,0.512,0.674,0.001,0.002,1250.51,21.005
6,0.598,0.642,0.001,0.002,1250.901,21.028
7,0.598,0.673,0.002,0.002,1250.555,21.03
8,0.505,0.704,0.001,0.003,1252.402,21.024
9,0.527,0.625,0.002,0.002,1252.378,21.009
10,0.557,0.695,0.002,0.002,1251.205,21.012
11,0.611,0.626,0.002,0.002,1252.793,21.03
12,0.676,0.659,0.002,0.003,1253.315,21.056
13,0.655,0.813,0.002,0.003,1251.185,21.018
14,0.519,0.752,0.002,0.003,1250.837,21.053
15,0.702,0.802,0.002,0.003,1250.666,21.017
16,0.723,0.775,0.002,0.002,1250.77,21.037
17,0.516,0.819,0.002,0.003,1251.741,21.062
18,0.572,0.737,0.003,0.002,1256.194,21.104
19,0.769,0.891,0.003,0.004,1251.715,21.067
20,0.824,0.917,0.003,0.003,1251.916,21.114
21,0.59,0.842,0.002,0.003,1255.114,21.041
22,0.659,0.687,0.002,0.003,1255.439,21.048
23,0.589,0.986,0.002,0.003,1251.851,21.049
24,0.59,0.91,0.001,0.003,1256.627,21.067
25,0.563,0.683,0.003,0.004,1254.845,21.03
26,1.046,0.784,0.003,0.005,1257.941,21.116
27,0.882,0.764,0.003,0.003,1256.157,21.155
28,0.817,0.957,0.002,0.004,1252.294,21.039
29,0.853,0.744,0.004,0.005,1257.07,21.04
30,1.091,1.239,0.003,0.004,1260.673,21.091
31,0.591,1.216,0.002,0.004,1260.579,21.102
32,0.862,0.991,0.003,0.003,1258.111,21.127
33,0.981,0.721,0.002,0.004,1253.943,21.036
34,0.678,0.75,0.004,0.005,1251.297,21.119
35,1.016,0.779,0.005,0.004,1261.046,21.034
36,0.817,1.063,0.002,0.005,1257.499,21.059
37,0.624,0.745,0.005,0.005,1260.011,21.179
38,0.899,0.842,0.003,0.005,1256.331,21.034
39,0.922,1.38,0.005,0.004,1257.088,21.088
40,0.89,1.269,0.005,0.003,1258.933,21.166
41,1.357,0.736,0.002,0.006,1258.122,21.154
42,0.838,1.502,0.006,0.005,1261.943,21.154
43,1.298,1.351,0.005,0.006,1264.753,21.126
44,0.647,0.843,0.003,0.003,1263.406,21.095
45,0.978,1.351,0.005,0.006,1255.771,21.158
46,1.18,1.386,0.003,0.006,1262.172,21.116
47,0.757,1.017,0.006,0.004,1254.597,21.249
48,1.322,1.266,0.004,0.006,1268.005,21.175
49,1.024,1.164,0.004,0.005,1260.328,21.131
50,1.087,1.013,0.007,0.006,1267.137,21.221
51,1.315,1.669,0.007,0.003,1265.897,21.267
52,1.561,1.5,0.002,0.004,1261.882,21.091
53,1.31,1.016,0.007,0.004,1268.778,21.103
54,0.943,0.927,0.004,0.006,1267.285,21.295
55,0.841,1.022,0.003,0.005,1257.8,21.14
56,0.559,0.785,0.005,0.004,1253.641,21.236
57,1.165,1.24,0.008,0.003,1260.291,21.135
58,0.771,1.064,0.007,0.006,1260.73,21.134
59,0.819,0.897,0.004,0.003,1255.166,21.247
60,1.735,1.313,0.003,0.007,1265.485,21.116
61,1.158,1.807,0.004,0.008,1263.069,21.289
62,0.969,1.053,0.007,0.007,1262.679,21.368
63,1.575,1.634,0.005,0.008,1260.086,21.137
