time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.506,0.612,0.001,0.002,1250.158,21.006
3,0.545,0.648,0.001,0.002,1250.95,21.008
4,0.516,0.617,0.001,0.002,1250.268,21.014
5,0.605,0.642,0.001,0.003,1251.457,21.033
6,0.526,0.702,0.002,0.002,1251.125,21.018
7,0.617,0.659,0.002,0.002,1250.563,21.03
8,0.572,0.688,0.001,0.003,1250.592,21.015
9,0.71,0.741,0.002,0.003,1252.853,21.023
10,0.698,0.657,0.002,0.003,1252.832,21.019
11,0.591,0.814,0.002,0.003,1252.976,21.037
12,0.55,0.826,0.001,0.003,1253.942,21.045
13,0.575,0.658,0.002,0.003,1251.326,21.052
14,0.808,0.897,0.002,0.003,1252.017,21.042
15,0.714,0.809,0.002,0.003,1253.514,21.117
16,0.757,0.889,0.003,0.004,1252.668,21.071
17,0.82,0.828,0.003,0.002,1251.741,21.074
18,0.818,0.721,0.003,0.003,1254.418,21.06
19,0.718,0.728,0.003,0.004,1255.957,21.094
20,0.646,1.038,0.003,0.003,1255.729,21.146
21,0.718,0.946,0.003,0.004,1258.784,21.093
22,0.693,0.903,0.002,0.003,1250.374,21.046
23,0.867,1.085,0.003,0.004,1257.786,21.115
24,0.598,0.889,0.003,0.004,1256.123,21.1
25,0.665,0.85,0.002,0.003,1257.598,21.125
26,0.792,1.264,0.003,0.005,1254.605,21.06
27,0.711,0.777,0.003,0.003,1254.694,21.116
28,0.752,1.151,0.004,0.003,1254.549,21.016
29,1.08,1.19,0.004,0.003,1253.187,21.104
30,0.794,0.811,0.003,0.004,1253.257,21.145
31,0.874,1.333,0.004,0.004,1261.027,21.143
32,1.36,1.282,0.006,0.005,1255.872,21.26
33,0.795,0.853,0.003,0.005,1252.669,21.186
34,0.867,1.068,0.004,0.004,1258.477,21.057
35,1.147,1.093,0.005,0.007,1255.735,21.078
36,0.98,1.241,0.002,0.005,1252.542,21.11
37,1.102,0.928,0.004,0.003,1256.809,21.122
38,1.103,1.122,0.004,0.003,1263.469,21.164
39,0.984,0.867,0.002,0.005,1258.508,21.148
40,1.044,1.285,0.005,0.003,1259.84,21.216
41,1.138,0.87,0.004,0.006,1264.047,21.255
42,1.157,1.385,0.007,0.007,1258.598,21.15
43,1.369,1.524,0.004,0.006,1266.933,21.139
44,1.225,0.825,0.003,0.005,1256.135,21.101
45,0.924,1.471,0.004,0.004,1255.962,21.186
46,1.572,1.176,0.003,0.007,1267.077,21.245
47,0.988,1.534,0.005,0.008,1265.144,21.344
48,1.085,1.844,0.007,0.008,1262.234,21.37
49,0.764,1.199,0.002,0.003,1265.203,21.275
50,0.636,0.814,0.006,0.005,1258.509,21.034
51,0.854,0.781,0.006,0.007,1260.928,21.275
52,1.574,1.572,0.006,0.009,1275.491,21.353
53,1.727,1.499,0.004,0.008,1261.462,21.38
54,1.346,1.145,0.005,0.006,1261.154,21.173
55,1.14,1.077,0.005,0.003,1252.241,21.043
56,1.261,1.258,0.007,0.006,1259.596,21.248
57,1.637,1.49,0.005,0.007,1261.916,21.109
58,1.17,1.693,0.01,0.01,1260.443,21.234
59,1.44,1.087,0.007,0.008,1259.42,21.274
60,2.009,1.667,0.009,0.009,1277.319,21.291
61,1.799,1.903,0.005,0.008,1274.848,21.199
62,1.628,0.753,0.004,0.005,1255.108,21.25
63,1.736,1.437,0.01,0.007,1281.238,21.449
64,1.507,1.728,0.004,0.003,1254.55,21.231
65,0.731,1.146,0.006,0.005,1256.926,21.262
66,1.158,1.963,0.008,0.007,1275.06,21.226
67,1.616,1.779,0.008,0.004,1260.177,21.361
68,1.365,2.591,0.011,0.007,1275.172,21.323
69,0.987,1.322,0.002,0.004,1263.814,21.134
70,2.024,2.153,0.009,0.009,1269.164,21.224
71,2.272,1.754,0.005,0.011,1266.925,21.198
72,1.283,1.586,0.003,0.008,1265.986,21.17
73,1.084,1.468,0.006,0.004,1253.191,21.052
74,1.347,2.127,0.008,0.007,1266.799,21.15
75,1.228,1.679,0.003,0.007,1278.019,21.418
76,0.83,1.044,0.005,0.004,1255.941,21.361
77,1.701,1.57,0.009,0.005,1281.14,21.525
78,1.538,1.244,0.004,0.004,1266.77,21.063
79,2.11,1.656,0.006,0.011,1263.18,21.475
