time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.508,0.613,0.001,0.002,1250.213,21.001
3,0.513,0.638,0.001,0.002,1250.241,21.003
4,0.539,0.635,0.001,0.002,1250.6,21.019
5,0.564,0.659,0.001,0.002,1251.134,21.001
6,0.529,0.615,0.002,0.002,1250.25,21.006
7,0.631,0.714,0.002,0.002,1252.138,21.02
8,0.561,0.757,0.002,0.003,1252.379,21.011
9,0.639,0.713,0.002,0.003,1250.957,21.021
10,0.583,0.755,0.002,0.003,1250.749,21.007
11,0.653,0.808,0.001,0.003,1252.479,21.025
12,0.741,0.67,0.002,0.002,1252.177,21.033
13,0.546,0.753,0.002,0.003,1252.752,21.053
14,0.741,0.81,0.002,0.002,1250.253,21.003
15,0.63,0.704,0.002,0.003,1250.843,21.035
16,0.586,0.832,0.003,0.004,1255.768,21.069
17,0.674,0.896,0.002,0.003,1254.213,21.037
18,0.811,0.914,0.002,0.004,1252.925,21.058
19,0.89,0.745,0.003,0.003,1254.917,21.113
20,0.643,0.697,0.003,0.004,1255.971,21.105
21,0.569,0.709,0.003,0.003,1251.487,21.054
22,0.72,0.782,0.003,0.003,1256.034,21.113
23,0.857,0.937,0.002,0.004,1258.136,21.122
24,1.019,0.737,0.004,0.004,1257.099,21.037
25,0.882,0.733,0.004,0.004,1254.868,21.111
26,0.832,0.962,0.004,0.005,1255.495,21.053
27,1.098,1.022,0.004,0.005,1257.988,21.165
28,0.973,0.639,0.003,0.004,1257.801,21.117
29,0.843,0.745,0.001,0.004,1258.75,21.142
30,0.843,1.069,0.002,0.003,1251.749,21.038
31,0.616,1.074,0.003,0.003,1252.102,21.183
32,0.99,1.142,0.003,0.004,1260.784,21.1
33,1.057,1.108,0.003,0.004,1256.44,21.16
34,0.67,0.73,0.004,0.004,1260.392,21.179
35,0.645,0.899,0.002,0.005,1260.44,21.019
36,0.75,0.796,0.002,0.005,1254.531,21.098
37,0.99,1.398,0.003,0.006,1265.066,21.192
38,0.932,1.298,0.004,0.004,1263.411,21.207
39,0.868,0.797,0.004,0.003,1263.734,21.118
40,0.662,0.766,0.004,0.002,1252.754,21.116
41,0.996,0.819,0.002,0.005,1254.702,21.051
42,1.051,1.228,0.002,0.004,1261.486,21.113
43,1.051,0.924,0.003,0.004,1256.969,21.161
44,1.303,1.493,0.006,0.006,1259.899,21.208
45,0.86,1.242,0.001,0.004,1255.192,21.214
46,0.706,1.178,0.005,0.004,1261.11,21.044
