time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.513,0.613,0.001,0.002,1250.208,21.002
3,0.526,0.615,0.001,0.002,1250.202,21.011
4,0.567,0.666,0.001,0.002,1251.183,21.013
5,0.525,0.659,0.001,0.002,1250.709,21.022
6,0.592,0.682,0.001,0.002,1251.776,21.021
7,0.581,0.651,0.001,0.002,1251.707,21.023
8,0.665,0.746,0.002,0.002,1253.079,21.022
9,0.511,0.714,0.002,0.003,1251.483,21.033
10,0.507,0.622,0.001,0.002,1251.078,21.031
11,0.626,0.692,0.002,0.003,1252.76,21.039
12,0.612,0.643,0.001,0.003,1251.176,21.057
13,0.69,0.761,0.001,0.002,1251.589,21.046
14,0.708,0.802,0.002,0.003,1252.272,21.042
15,0.641,0.753,0.002,0.003,1252.66,21.071
16,0.718,0.824,0.003,0.002,1251.987,21.062
17,0.606,0.812,0.003,0.004,1252.285,21.027
18,0.792,0.843,0.003,0.003,1256.915,21.092
19,0.842,0.721,0.002,0.004,1253.015,21.065
20,0.635,0.672,0.001,0.004,1255.518,21.044
21,0.741,0.736,0.002,0.003,1256.389,21.054
22,0.847,0.922,0.002,0.003,1251.822,21.053
23,0.577,0.86,0.003,0.004,1253.278,21.02
24,0.744,1.004,0.003,0.004,1255.198,21.16
25,0.679,1.079,0.002,0.004,1256.938,21.075
26,0.915,0.67,0.002,0.005,1256.753,21.063
27,0.618,1.085,0.002,0.005,1254.066,21.089
28,0.801,1.188,0.004,0.004,1253.404,21.175
29,0.824,0.776,0.003,0.004,1260.184,21.165
30,0.653,0.747,0.001,0.004,1251.41,21.039
31,0.687,1.191,0.004,0.005,1254.436,21.182
32,1.073,0.658,0.004,0.003,1258.151,21.098
33,0.944,1.138,0.004,0.005,1262.763,21.202
34,0.565,1.068,0.004,0.003,1260.232,21.118
35,0.645,1.041,0.002,0.005,1261.025,21.216
36,0.997,0.862,0.002,0.006,1253.578,21.147
37,0.848,0.658,0.004,0.005,1255.036,21.093
38,1.094,0.725,0.004,0.004,1253.626,21.052
39,0.651,1.183,0.003,0.006,1251.158,21.078
40,1.03,1.339,0.003,0.007,1265.857,21.212
41,1.22,1.64,0.005,0.004,1256.386,21.25
42,0.897,1.241,0.003,0.006,1253.929,21.158
43,1.071,1.155,0.004,0.006,1264.156,21.268
44,1.251,1.018,0.003,0.005,1264.872,21.126
45,0.769,1.402,0.004,0.006,1262.118,21.065
46,1.331,0.879,0.005,0.006,1260.233,21.124
47,0.944,1.75,0.003,0.005,1269.175,21.322
48,1.555,0.855,0.004,0.005,1262.623,21.281
49,0.869,0.894,0.003,0.004,1268.007,21.219
50,0.896,1.706,0.004,0.007,1269.23,21.332
51,1.132,1.417,0.007,0.004,1270.361,21.255
