time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.514,0.622,0.001,0.002,1250.21,21.005
3,0.544,0.633,0.001,0.002,1251.073,21.007
4,0.541,0.629,0.001,0.002,1251.011,21.001
5,0.558,0.667,0.001,0.002,1251.001,21.01
6,0.56,0.677,0.001,0.002,1251.063,21.028
7,0.617,0.727,0.002,0.002,1252.007,21.028
8,0.601,0.715,0.002,0.002,1251.177,21.045
9,0.673,0.773,0.002,0.003,1253.097,21.041
10,0.66,0.8,0.002,0.003,1252.186,21.078
11,0.627,0.761,0.002,0.003,1252.245,21.061
12,0.592,0.787,0.002,0.003,1251.424,21.059
13,0.639,0.737,0.002,0.003,1253.382,21.043
14,0.745,0.854,0.002,0.003,1255.465,21.049
15,0.733,0.858,0.003,0.003,1257.347,21.1
16,0.737,0.909,0.002,0.004,1254.654,21.089
17,0.79,0.758,0.003,0.003,1255.565,21.041
18,0.832,0.771,0.002,0.003,1253.388,21.104
19,0.902,1.139,0.003,0.003,1257.147,21.085
20,0.688,0.905,0.002,0.004,1255.278,21.048
21,0.575,0.87,0.002,0.004,1256.465,21.081
22,0.925,0.986,0.002,0.003,1256.345,21.079
23,0.801,1.014,0.003,0.004,1257.846,21.083
24,0.963,1.155,0.003,0.005,1256.325,21.062
25,1.073,1.078,0.005,0.004,1262.648,21.154
26,1.259,0.9,0.003,0.005,1260.007,21.196
27,0.61,0.789,0.003,0.004,1258.988,21.127
28,1.173,1.273,0.005,0.006,1263.021,21.245
29,1.048,0.879,0.004,0.004,1252.255,21.153
30,0.639,0.648,0.003,0.005,1253.778,21.119
31,1.07,1.049,0.004,0.003,1257.382,21.082
32,0.624,0.675,0.003,0.005,1260.367,21.138
33,0.984,1.458,0.002,0.006,1259.326,21.173
34,1.064,0.997,0.002,0.004,1253.561,21.066
35,1.223,1.146,0.004,0.005,1265.782,21.164
36,0.816,0.934,0.005,0.004,1259.276,21.088
37,1.124,0.902,0.005,0.004,1262.244,21.171
38,1.293,1.272,0.005,0.005,1264.968,21.167
39,1.092,0.871,0.006,0.007,1256.205,21.167
40,1.078,1.43,0.004,0.008,1267.924,21.159
41,0.77,1.377,0.006,0.004,1257.012,21.217
42,1.047,1.345,0.003,0.004,1251.623,21.062
43,1.561,1.082,0.007,0.005,1267.409,21.191
44,0.632,1.463,0.002,0.005,1260.995,21.113
45,1.305,1.328,0.005,0.005,1255.684,21.268
46,0.968,0.986,0.003,0.004,1259.115,21.154
47,0.996,1.063,0.003,0.005,1262.856,21.187
48,0.885,0.737,0.004,0.006,1258.457,21.054
49,1.568,1.062,0.005,0.005,1268.22,21.153
50,0.916,0.956,0.004,0.006,1253.291,21.283
51,0.992,1.915,0.005,0.008,1265.075,21.261
52,1.252,0.966,0.005,0.004,1269.45,21.085
53,1.192,1.27,0.007,0.007,1256.832,21.184
54,1.511,1.138,0.006,0.006,1258.373,21.181
55,1.166,1.259,0.006,0.005,1273.448,21.255
56,1.237,1.399,0.006,0.008,1263.816,21.238
57,1.452,1.57,0.005,0.009,1268.972,21.216
58,1.614,1.417,0.008,0.005,1265.464,21.162
59,1.337,1.145,0.006,0.007,1260.374,21.465
60,1.772,1.186,0.009,0.004,1262.673,21.084
61,1.636,1.319,0.008,0.008,1268.99,21.274
62,1.391,2.028,0.005,0.011,1261.931,21.403
63,1.368,1.84,0.005,0.006,1264.433,21.223
64,1.356,1.866,0.007,0.009,1264.539,21.21
65,0.985,1.553,0.007,0.007,1261.959,21.354
66,0.713,0.977,0.005,0.008,1263.97,21.166
67,1.575,1.92,0.003,0.005,1262.151,21.154
68,1.39,2.404,0.007,0.008,1280.499,21.464
69,1.365,1.915,0.01,0.011,1267.436,21.275
70,1.77,1.3,0.002,0.007,1268.342,21.23
71,0.831,0.979,0.004,0.007,1272.813,21.061
72,2.721,2.23,0.013,0.013,1289.506,21.418
73,2.147,2.254,0.01,0.01,1274.29,21.301
74,1.913,1.782,0.011,0.009,1280.853,21.491
75,1.275,1.873,0.003,0.009,1273.474,21.3
76,0.904,1.5,0.01,0.007,1268.416,21.392
77,2.734,2.756,0.015,0.012,1291.6,21.57
78,0.669,1.628,0.008,0.008,1258.873,21.295
79,1.482,1.788,0.01,0.008,1282.832,21.261
80,2.838,1.641,0.007,0.009,1286.921,21.359
81,2.65,2.833,0.008,0.008,1286.845,21.413
82,1.67,2.956,0.015,0.013,1271.006,21.49
83,1.916,1.703,0.003,0.007,1272.351,21.219
84,2.205,1.588,0.002,0.004,1265.462,21.36
85,1.819,1.635,0.008,0.008,1266.004,21.357
86,1.259,0.823,0.008,0.005,1256.002,21.238
87,1.343,2.059,0.011,0.004,1256.328,21.217
88,1.242,2.182,0.006,0.004,1271.969,21.355
89,2.638,2.759,0.009,0.011,1293.729,21.511
90,1.824,1.922,0.004,0.01,1282.725,21.38
91,1.696,1.336,0.014,0.014,1272.833,21.688
92,2.255,2.406,0.013,0.01,1272.99,21.107
93,1.792,1.646,0.006,0.005,1270.413,21.449
94,1.845,2.186,0.009,0.014,1293.677,21.429
95,2.228,1.659,0.005,0.007,1271.14,21.433
96,1.715,1.975,0.011,0.011,1257.343,21.514
97,1.493,2.125,0.004,0.013,1266.7,21.377
98,2.831,2.458,0.017,0.014,1291.83,21.741
99,0.896,2.458,0.005,0.01,1279.408,21.505
100,1.944,2.426,0.008,0.013,1262.257,21.642
101,2.529,2.017,0.015,0.012,1264.369,21.401
102,2.194,2.406,0.018,0.017,1295.358,21.769
103,3.471,1.927,0.009,0.013,1279.192,21.798
104,1.438,2.546,0.01,0.003,1279.909,21.075
105,2.736,2.599,0.006,0.009,1291.191,21.547
106,1.23,1.91,0.003,0.005,1272.44,21.458
107,1.816,2.034,0.011,0.013,1287.716,21.361
108,3.543,3.544,0.017,0.01,1300.486,21.87
109,2.996,3.213,0.007,0.011,1288.842,21.633
110,2.796,2.799,0.01,0.008,1278.117,21.381
111,1.78,0.875,0.01,0.005,1267.627,21.274
112,2.288,1.179,0.012,0.007,1271.593,21.044
113,1.822,1.834,0.015,0.009,1290.254,21.74
114,2.482,3.739,0.011,0.018,1301.811,21.721
115,2.828,3.153,0.015,0.008,1283.677,21.574
116,3.36,2.562,0.009,0.01,1272.63,21.586
117,3.219,3.52,0.019,0.017,1312.934,21.822
118,0.985,1.411,0.008,0.011,1260.048,21.407
119,4.108,2.625,0.016,0.021,1301.944,22.074
120,2.637,2.408,0.015,0.007,1270.764,21.693
121,1.04,1.31,0.003,0.007,1284.119,21.016
122,1.224,1.103,0.012,0.003,1256.626,21.389
123,1.128,2.124,0.002,0.012,1261.311,21.375
124,2.952,3.26,0.013,0.021,1279.272,21.722
125,3.912,2.72,0.014,0.013,1277.718,21.776
126,2.01,1.488,0.013,0.011,1266.739,21.893
127,4.186,3.827,0.019,0.017,1279.822,22.031
128,2.764,0.774,0.005,0.007,1264.817,21.586
129,3.202,3.083,0.019,0.018,1286.269,21.964
130,2.301,3.441,0.022,0.013,1305.522,21.961
131,2.993,3.386,0.021,0.008,1292.169,21.955
132,2.726,2.489,0.016,0.014,1277.867,21.708
133,1.159,3.318,0.006,0.009,1300.734,21.735
134,3.696,2.518,0.009,0.013,1281.873,21.926
135,2.016,3.389,0.007,0.015,1275.792,21.377
136,3.986,2.078,0.012,0.01,1300.248,21.48
137,3.418,1.842,0.005,0.016,1271.916,21.809
138,2.36,3.084,0.013,0.022,1294.727,21.609
139,3.022,4.431,0.01,0.012,1319.853,21.831
140,0.814,2.194,0.004,0.008,1273.792,21.128
141,3.816,3.636,0.012,0.011,1325.454,21.695
142,3.202,2.819,0.019,0.022,1327.364,22.118
143,1.898,2.3,0.018,0.015,1271.443,21.274
144,4.153,3.218,0.014,0.025,1284.913,21.709
145,3.639,4.157,0.017,0.016,1320.13,21.768
146,1.934,2.439,0.006,0.006,1281.386,21.808
147,2.444,2.359,0.015,0.004,1301.678,21.798
148,1.568,2.235,0.017,0.008,1281.221,21.297
149,2.895,1.042,0.005,0.018,1293.582,21.537
