time,cpu,memory,rtt,latency,bandwidth,throughput
1,0.5,0.6,0.001,0.002,1250.0,21.0
2,0.513,0.616,0.001,0.002,1250.148,21.005
3,0.537,0.637,0.001,0.002,1250.603,21.009
4,0.569,0.666,0.001,0.002,1251.692,21.021
5,0.551,0.659,0.002,0.002,1251.701,21.027
6,0.607,0.744,0.002,0.003,1252.428,21.043
7,0.61,0.686,0.002,0.003,1251.94,21.049
8,0.616,0.762,0.001,0.002,1250.812,21.045
9,0.574,0.733,0.002,0.002,1251.879,21.011
10,0.738,0.769,0.002,0.003,1252.8,21.066
11,0.655,0.753,0.002,0.003,1251.782,21.065
12,0.74,0.789,0.003,0.004,1256.475,21.074
13,0.76,0.888,0.003,0.003,1255.831,21.103
14,0.539,0.852,0.001,0.002,1254.433,21.012
15,0.818,0.817,0.003,0.004,1253.479,21.074
16,0.677,0.631,0.001,0.004,1251.517,21.062
17,0.758,0.78,0.002,0.003,1254.735,21.068
18,0.67,0.935,0.003,0.003,1253.403,21.102
19,0.803,0.889,0.002,0.004,1255.034,21.142
20,0.69,0.814,0.003,0.004,1252.717,21.119
21,0.678,1.061,0.003,0.003,1256.178,21.054
22,0.817,1.237,0.004,0.005,1256.36,21.151
23,0.651,0.742,0.003,0.003,1252.959,21.061
24,0.926,0.911,0.002,0.003,1251.278,21.142
25,0.856,1.171,0.004,0.003,1255.832,21.151
26,0.841,1.193,0.005,0.006,1259.836,21.092
27,1.215,0.925,0.004,0.003,1255.588,21.083
28,0.857,1.006,0.004,0.005,1259.107,21.038
29,1.12,1.22,0.005,0.004,1263.153,21.157
30,0.715,1.287,0.003,0.004,1258.776,21.181
31,1.03,1.428,0.006,0.004,1265.918,21.211
32,1.034,1.331,0.004,0.005,1262.381,21.087
33,1.54,1.413,0.005,0.007,1268.623,21.268
34,1.06,1.612,0.004,0.006,1262.811,21.275
35,0.824,1.161,0.006,0.004,1258.803,21.246
36,1.026,1.495,0.004,0.005,1259.522,21.236
37,1.054,1.285,0.001,0.003,1260.241,21.029
38,0.913,1.018,0.005,0.004,1266.272,21.297
39,1.486,1.195,0.006,0.007,1266.731,21.262
40,1.076,1.015,0.002,0.004,1253.585,21.045
41,0.803,1.409,0.002,0.007,1255.913,21.219
42,1.334,1.143,0.006,0.005,1267.4,21.146
43,0.864,1.339,0.003,0.005,1257.417,21.073
44,1.676,1.71,0.003,0.008,1266.297,21.251
45,1.337,1.373,0.004,0.005,1263.046,21.251
46,0.977,1.051,0.003,0.008,1261.403,21.118
47,0.931,1.193,0.005,0.004,1263.901,21.224
48,0.787,0.825,0.004,0.004,1259.026,21.268
49,0.853,0.912,0.004,0.006,1260.492,21.175
50,0.859,0.939,0.006,0.005,1255.476,21.043
51,1.76,1.413,0.005,0.007,1263.176,21.201
52,1.693,1.044,0.006,0.008,1259.519,21.15
53,0.925,1.015,0.007,0.005,1257.738,21.25
54,1.982,1.922,0.006,0.009,1264.533,21.225
55,1.539,1.576,0.005,0.006,1263.241,21.156
56,1.12,1.631,0.004,0.005,1268.54,21.329
57,0.859,1.168,0.006,0.004,1267.355,21.166
58,0.919,1.246,0.003,0.005,1262.635,21.3
59,1.963,1.294,0.008,0.009,1268.027,21.196
60,1.249,2.157,0.007,0.009,1277.736,21.304
61,1.479,1.783,0.008,0.007,1269.824,21.408
62,2.148,1.882,0.008,0.01,1274.667,21.321
63,1.038,1.447,0.004,0.003,1264.182,21.332
64,2.03,1.543,0.009,0.011,1276.477,21.206
65,1.563,1.966,0.009,0.008,1262.974,21.327
66,2.665,2.746,0.009,0.013,1266.949,21.372
67,2.554,2.2,0.011,0.013,1280.854,21.418
68,1.802,2.482,0.008,0.008,1268.277,21.418
69,0.847,0.767,0.009,0.005,1274.068,21.214
70,1.402,2.005,0.003,0.006,1270.624,21.262
71,2.089,2.58,0.009,0.009,1276.414,21.332
72,1.211,1.71,0.007,0.008,1259.585,21.359
73,1.341,0.713,0.008,0.009,1264.786,21.324
74,2.661,1.527,0.012,0.014,1281.706,21.582
75,1.398,1.148,0.009,0.003,1260.744,21.346
76,2.54,2.511,0.013,0.012,1267.904,21.406
77,1.504,1.9,0.005,0.01,1272.703,21.506
78,2.314,2.35,0.008,0.009,1270.688,21.418
79,2.135,2.492,0.016,0.01,1280.03,21.54
80,2.442,1.519,0.009,0.011,1279.158,21.503
81,1.346,1.483,0.006,0.006,1268.544,21.265
82,1.901,2.256,0.013,0.009,1278.719,21.499
83,2.66,3.087,0.008,0.014,1296.28,21.686
84,1.806,2.515,0.012,0.012,1280.955,21.265
85,2.238,2.282,0.006,0.007,1273.412,21.391
86,1.183,1.715,0.003,0.006,1258.158,21.107
87,1.54,1.939,0.012,0.015,1287.763,21.751
88,2.299,2.184,0.007,0.008,1290.044,21.384
89,1.16,2.179,0.013,0.012,1279.758,21.326
90,3.276,2.581,0.009,0.017,1293.119,21.728
91,1.096,1.288,0.008,0.012,1286.174,21.577
92,2.016,1.913,0.018,0.013,1292.941,21.837
93,1.024,1.949,0.011,0.008,1278.617,21.29
94,2.071,2.368,0.016,0.012,1293.342,21.744
95,1.571,1.89,0.01,0.015,1288.613,21.715
96,1.985,2.665,0.011,0.007,1287.479,21.467
97,0.728,2.485,0.005,0.005,1278.901,21.361
98,1.981,2.3,0.011,0.014,1286.784,21.531
99,3.736,3.425,0.015,0.013,1291.816,21.856
100,2.905,2.557,0.008,0.007,1274.044,21.434
101,1.666,0.872,0.009,0.006,1264.889,21.132
102,3.009,3.278,0.015,0.017,1270.663,21.66
103,1.51,1.702,0.012,0.013,1282.26,21.376
104,2.181,2.84,0.01,0.014,1291.323,21.913
105,3.668,2.413,0.014,0.018,1296.886,21.551
106,3.631,3.573,0.009,0.019,1281.764,21.475
107,1.677,1.86,0.008,0.013,1266.314,21.118
108,1.794,2.093,0.009,0.016,1302.213,21.375
109,2.705,2.462,0.011,0.014,1296.5,21.482
110,2.517,3.615,0.011,0.013,1276.482,21.762
111,3.61,3.402,0.016,0.02,1277.752,21.502
112,2.033,1.456,0.012,0.01,1285.678,21.241
113,3.571,3.483,0.016,0.018,1306.845,21.69
114,3.393,3.706,0.012,0.012,1298.749,21.722
115,2.194,2.301,0.012,0.012,1277.468,21.513
116,3.027,1.938,0.013,0.018,1271.923,21.3
117,1.258,0.995,0.012,0.002,1269.264,21.436
118,3.259,3.456,0.016,0.012,1293.519,21.378
119,2.613,2.304,0.003,0.013,1283.495,21.493
120,3.573,2.164,0.021,0.021,1283.679,21.669
121,4.26,4.311,0.02,0.017,1318.216,21.859
122,1.95,1.951,0.017,0.008,1277.128,21.378
123,2.16,2.019,0.01,0.016,1270.803,21.434
124,3.696,1.804,0.013,0.013,1288.403,21.754
125,1.973,3.006,0.011,0.012,1255.321,21.715
126,1.807,0.972,0.015,0.007,1254.943,21.623
127,1.681,2.768,0.017,0.013,1283.071,21.369
128,1.627,3.132,0.018,0.009,1303.393,21.45
129,1.432,2.522,0.01,0.018,1296.273,21.505
130,1.811,2.951,0.011,0.016,1288.681,21.774
131,3.425,2.143,0.013,0.013,1303.13,21.933
132,3.354,3.971,0.009,0.013,1273.398,21.351
133,3.197,3.833,0.018,0.012,1285.41,21.572
134,2.457,2.388,0.021,0.022,1291.332,22.08
135,1.088,1.982,0.011,0.012,1285.468,21.59
136,4.222,3.433,0.013,0.015,1285.727,21.809
137,5.004,4.474,0.023,0.022,1318.433,22.249
138,1.525,1.882,0.015,0.011,1278.323,21.434
139,4.437,3.906,0.024,0.026,1318.284,22.058
140,3.568,4.016,0.016,0.015,1318.264,21.784
141,3.752,3.882,0.017,0.01,1278.33,21.777
142,4.361,3.757,0.025,0.024,1312.421,21.633
143,3.133,2.222,0.01,0.011,1269.115,21.267
144,3.915,2.411,0.017,0.012,1280.16,22.037
145,3.333,2.48,0.012,0.008,1283.666,21.488
146,3.118,3.904,0.013,0.023,1322.617,22.081
147,4.083,4.184,0.02,0.016,1290.374,21.494
148,1.11,2.167,0.012,0.017,1295.168,21.487
149,3.097,2.98,0.02,0.013,1330.177,22.377
150,1.87,3.6,0.007,0.007,1285.933,21.841
151,1.823,4.09,0.008,0.008,1289.361,21.696
152,2.968,2.451,0.019,0.013,1260.828,21.591
153,3.559,4.637,0.011,0.018,1281.877,21.534
154,4.262,4.49,0.019,0.029,1299.392,21.734
155,3.212,4.165,0.013,0.016,1291.869,21.675
156,3.213,2.556,0.009,0.008,1308.999,21.867
157,1.852,2.67,0.014,0.015,1294.481,21.66
158,3.389,4.731,0.014,0.023,1279.485,21.841
159,3.322,2.851,0.015,0.012,1303.968,22.245
160,3.105,3.723,0.024,0.011,1284.479,21.526
161,2.41,2.794,0.008,0.006,1276.928,21.16
162,1.198,2.205,0.005,0.009,1253.221,21.537
163,1.541,2.951,0.017,0.019,1301.555,21.966
164,2.928,1.689,0.021,0.014,1321.867,22.134
165,4.435,5.622,0.016,0.02,1303.983,22.449
166,4.31,4.423,0.007,0.02,1276.436,21.651
167,4.662,4.103,0.028,0.019,1300.326,22.3
168,5.163,4.259,0.031,0.019,1325.341,21.86
169,3.287,3.392,0.024,0.021,1279.272,21.657
170,1.555,1.538,0.014,0.009,1261.312,21.709
171,2.421,3.601,0.011,0.015,1296.534,21.178
172,3.346,3.556,0.017,0.003,1292.048,21.161
173,5.937,3.578,0.027,0.024,1338.215,22.15
174,5.52,4.132,0.023,0.026,1320.514,22.311
175,3.156,1.425,0.009,0.008,1278.858,21.59
176,1.424,3.826,0.019,0.019,1261.292,21.779
177,3.018,4.425,0.018,0.025,1293.221,21.436
178,3.934,4.241,0.021,0.019,1303.443,22.26
179,2.357,2.601,0.007,0.005,1310.42,22.051
180,4.751,5.341,0.025,0.028,1312.041,22.48
181,2.41,3.153,0.012,0.013,1304.526,21.45
182,4.725,3.584,0.019,0.016,1345.417,21.818
183,5.515,5.439,0.02,0.019,1308.565,22.494
184,2.555,3.29,0.015,0.01,1294.802,21.993
185,3.131,4.092,0.009,0.016,1251.983,21.581
186,2.01,2.611,0.003,0.02,1253.196,21.921
187,4.501,3.075,0.019,0.027,1341.861,22.202
188,4.136,4.473,0.02,0.017,1336.989,22.534
189,3.161,3.906,0.023,0.014,1338.427,21.941
190,2.283,3.931,0.016,0.023,1266.352,21.432
191,3.518,3.768,0.008,0.003,1256.319,21.235
192,2.307,5.37,0.02,0.019,1300.586,21.88
193,2.154,2.602,0.013,0.01,1307.209,21.378
194,3.602,3.095,0.018,0.02,1318.283,22.141
195,1.344,3.212,0.023,0.011,1310.016,21.677
196,2.402,5.565,0.027,0.025,1308.625,21.904
197,4.748,6.461,0.024,0.024,1308.355,21.876
198,4.524,3.465,0.022,0.009,1314.364,21.684
199,1.446,3.021,0.026,0.007,1318.592,21.933
200,2.696,4.388,0.017,0.011,1271.567,21.959
201,4.24,4.799,0.015,0.027,1340.979,22.052
202,3.097,3.536,0.024,0.006,1274.307,21.511
203,5.324,6.058,0.028,0.023,1306.367,21.648
204,2.746,2.904,0.019,0.019,1309.888,22.261
205,2.147,1.067,0.012,0.018,1288.954,21.588
206,3.315,3.6,0.023,0.007,1294.647,21.203
207,4.689,3.984,0.014,0.022,1278.407,21.688
208,2.225,1.945,0.016,0.006,1285.142,21.944
209,4.814,5.899,0.03,0.03,1334.199,22.623
210,4.194,4.266,0.01,0.025,1276.363,21.774
211,7.111,6.85,0.025,0.016,1353.732,22.217
212,3.556,5.83,0.035,0.02,1307.145,21.894
213,3.253,4.705,0.013,0.016,1308.758,22.127
214,4.48,6.232,0.032,0.021,1359.981,22.938
215,6.486,5.677,0.026,0.022,1332.44,21.987
216,4.272,4.031,0.024,0.029,1349.768,21.617
217,4.386,4.014,0.018,0.025,1277.901,21.969
